,Unnamed: 0,idx,Image1,ValenceMean1,ArousalMean1,ValCat1,Image2,ValenceMean2,ArousalMean2,ValCat2,Valence_Diff,Arousal_Diff,ValenceContrast,ABSArousal_Diff,ABSValence_Diff,Bin,Img1Dir,Img2Dir,Block
51,51,51,9395.jpg,3.21,4.22,Neg,Shark 5.jpg,4.464052288,5.594059406,Neu,-1.254052288,-1.374059406,NegNeu,1.374059406,1.254052288,2,IAPS/9395.jpg,IAPS/Shark 5.jpg,1
237,237,237,2570.jpg,4.78,2.76,Neu,3500.jpg,2.21,6.99,Neg,2.57,-4.23,NeuNeg,4.23,2.57,6,IAPS/2570.jpg,IAPS/3500.jpg,1
193,193,193,Toilet 1.jpg,4.738562092,2.808580858,Neu,War 4.jpg,3.62745098,6.04290429,Neg,1.111111112,-3.234323432,NeuNeg,3.234323432,1.111111112,5,IAPS/Toilet 1.jpg,IAPS/War 4.jpg,1
16,16,16,2155.jpg,6.78,5.43,Pos,Dog 1.jpg,6.518151815,5.427184466,Pos,0.261848185,0.002815534,PosPos,0.002815534,0.261848185,1,IAPS/2155.jpg,IAPS/Dog 1.jpg,1
52,52,52,Car crash 1.jpg,2.137254902,5.739273927,Neg,Children 1.jpg,7.297029703,4.365695793,Pos,-5.159774801,1.373578134,NegPos,1.373578134,5.159774801,2,IAPS/Car crash 1.jpg,IAPS/Children 1.jpg,1
33,33,33,9428.jpg,2.31,5.66,Neg,Thunderstorm 5.jpg,6.00330033,5.699029126,Neu,-3.69330033,-0.039029126,NegNeu,0.039029126,3.69330033,1,IAPS/9428.jpg,IAPS/Thunderstorm 5.jpg,1
168,168,168,5530.jpg,5.38,2.87,Neu,6540.jpg,2.19,6.83,Neg,3.19,-3.96,NeuNeg,3.96,3.19,5,IAPS/5530.jpg,IAPS/6540.jpg,1
4,4,4,7650.jpg,6.62,6.15,Pos,Cat 5.jpg,7.954248366,6.148514851,Pos,-1.334248366,0.001485149,PosPos,0.001485149,1.334248366,1,IAPS/7650.jpg,IAPS/Cat 5.jpg,1
24,24,24,5726.jpg,6.23,2.84,Pos,Toilet 3.jpg,4.777777778,2.821782178,Neu,1.452222222,0.018217822,PosNeu,0.018217822,1.452222222,1,IAPS/5726.jpg,IAPS/Toilet 3.jpg,1
29,29,29,4622.jpg,7.46,4.11,Pos,9390.jpg,3.67,4.14,Neg,3.79,-0.03,PosNeg,0.03,3.79,1,IAPS/4622.jpg,IAPS/9390.jpg,1
208,208,208,8160.jpg,5.07,6.97,Neu,Wall 4.jpg,4.98679868,2.113268608,Neu,0.08320132,4.856731392,NeuNeu,4.856731392,0.08320132,6,IAPS/8160.jpg,IAPS/Wall 4.jpg,1
100,100,100,1659.jpg,6.57,4.89,Pos,7006.jpg,4.88,2.33,Neu,1.69,2.56,PosNeu,2.56,1.69,3,IAPS/1659.jpg,IAPS/7006.jpg,1
124,124,124,2717.jpg,2.58,5.7,Neg,Bark 4.jpg,5.316831683,2.656957929,Neu,-2.736831683,3.043042071,NegNeu,3.043042071,2.736831683,4,IAPS/2717.jpg,IAPS/Bark 4.jpg,1
128,128,128,Dog 12.jpg,8.04950495,5.54368932,Pos,Roofing 2.jpg,5.079207921,2.501618123,Neu,2.970297029,3.042071197,PosNeu,3.042071197,2.970297029,4,IAPS/Dog 12.jpg,IAPS/Roofing 2.jpg,1
121,121,121,Pigeon 1.jpg,5.745098039,2.900990099,Neu,Rollercoaster 1.jpg,6.927392739,5.944983819,Pos,-1.1822947,-3.04399372,NeuPos,3.04399372,1.1822947,4,IAPS/Pigeon 1.jpg,IAPS/Rollercoaster 1.jpg,1
116,116,116,1908.jpg,5.28,4.88,Neu,2000.jpg,6.51,3.32,Pos,-1.23,1.56,NeuPos,1.56,1.23,3,IAPS/1908.jpg,IAPS/2000.jpg,1
195,195,195,5470.jpg,7.35,6.02,Pos,Keyboard 2.jpg,5.145214521,2.825242718,Neu,2.204785479,3.194757282,PosNeu,3.194757282,2.204785479,5,IAPS/5470.jpg,IAPS/Keyboard 2.jpg,1
222,222,222,Fire 5.jpg,1.980392157,6.716171617,Neg,Socks 1.jpg,5.271604938,2.205128205,Neu,-3.291212781,4.511043412,NegNeu,4.511043412,3.291212781,6,IAPS/Fire 5.jpg,IAPS/Socks 1.jpg,1
61,61,61,2400.jpg,4.21,4.2,Neu,9495.jpg,3.34,5.57,Neg,0.87,-1.37,NeuNeg,1.37,0.87,2,IAPS/2400.jpg,IAPS/9495.jpg,1
85,85,85,Car race 1.jpg,5.518518519,3.948717949,Neu,Miserable pose 3.jpg,1.14379085,6.531353135,Neg,4.374727669,-2.582635186,NeuNeg,2.582635186,4.374727669,3,IAPS/Car race 1.jpg,IAPS/Miserable pose 3.jpg,1
218,218,218,Fire 11.jpg,2.006535948,6.755775578,Neg,Yarn 1.jpg,3.130718954,2.161716172,Neg,-1.124183006,4.594059406,NegNeg,4.594059406,1.124183006,6,IAPS/Fire 11.jpg,IAPS/Yarn 1.jpg,1
122,122,122,7140.jpg,5.5,2.92,Neu,Tornado 2.jpg,4.359477124,5.96369637,Neu,1.140522876,-3.04369637,NeuNeu,3.04369637,1.140522876,4,IAPS/7140.jpg,IAPS/Tornado 2.jpg,1
194,194,194,9254.jpg,2.03,6.04,Neg,Clean 1.jpg,6.395061728,2.820512821,Pos,-4.365061728,3.219487179,NegPos,3.219487179,4.365061728,5,IAPS/9254.jpg,IAPS/Clean 1.jpg,1
91,91,91,1122.jpg,5.15,4.32,Neu,2811.jpg,2.17,6.9,Neg,2.98,-2.58,NeuNeg,2.58,2.98,3,IAPS/1122.jpg,IAPS/2811.jpg,1
48,48,48,8420.jpg,7.76,5.56,Pos,Soldiers 5.jpg,6.254125413,4.184466019,Pos,1.505874587,1.375533981,PosPos,1.375533981,1.505874587,2,IAPS/8420.jpg,IAPS/Soldiers 5.jpg,1
41,41,41,5660.jpg,7.27,5.07,Pos,Depressed face 2.jpg,4.765432099,3.692307692,Neu,2.504567901,1.377692308,PosNeu,1.377692308,2.504567901,2,IAPS/5660.jpg,IAPS/Depressed face 2.jpg,1
158,158,158,Lightning 6.jpg,5.653594771,5.95049505,Neu,Timber 1.jpg,4.775577558,3.226537217,Neu,0.878017213,2.723957833,NeuNeu,2.723957833,0.878017213,4,IAPS/Lightning 6.jpg,IAPS/Timber 1.jpg,1
212,212,212,5800.jpg,6.36,2.51,Pos,6350.jpg,1.9,7.29,Neg,4.46,-4.78,PosNeg,4.78,4.46,6,IAPS/5800.jpg,IAPS/6350.jpg,1
113,113,113,7660.jpg,6.61,5.59,Pos,Building 2.jpg,6.061728395,3.897435897,Neu,0.548271605,1.692564103,PosNeu,1.692564103,0.548271605,3,IAPS/7660.jpg,IAPS/Building 2.jpg,1
183,183,183,8470.jpg,7.74,6.14,Pos,Paper 5.jpg,5.483660131,2.676567657,Neu,2.256339869,3.463432343,PosNeu,3.463432343,2.256339869,5,IAPS/8470.jpg,IAPS/Paper 5.jpg,1
36,36,36,9270.jpg,3.72,5.24,Neg,Monkey 1.jpg,6.161716172,5.284789644,Neu,-2.441716172,-0.044789644,NegNeu,0.044789644,2.441716172,1,IAPS/9270.jpg,IAPS/Monkey 1.jpg,2
227,227,227,9908.jpg,2.34,6.63,Neg,Roofing 5.jpg,5.066006601,2.229773463,Neu,-2.726006601,4.400226537,NegNeu,4.400226537,2.726006601,6,IAPS/9908.jpg,IAPS/Roofing 5.jpg,2
207,207,207,8179.jpg,6.48,6.99,Pos,Paper 3.jpg,5.31372549,2.095709571,Neu,1.16627451,4.894290429,PosNeu,4.894290429,1.16627451,6,IAPS/8179.jpg,IAPS/Paper 3.jpg,2
37,37,37,Tornado 1.jpg,2.464052288,6.412541254,Neg,War 6.jpg,1.522875817,6.359735974,Neg,0.941176471,0.05280528,NegNeg,0.05280528,0.941176471,1,IAPS/Tornado 1.jpg,IAPS/War 6.jpg,2
127,127,127,Fireworks 7.jpg,7.336633663,5.595469256,Pos,Yarn 2.jpg,5.145214521,2.553398058,Neu,2.191419142,3.042071198,PosNeu,3.042071198,2.191419142,4,IAPS/Fireworks 7.jpg,IAPS/Yarn 2.jpg,2
104,104,104,7192.jpg,5.77,3.58,Neu,7380.jpg,2.46,5.88,Neg,3.31,-2.3,NeuNeg,2.3,3.31,3,IAPS/7192.jpg,IAPS/7380.jpg,2
172,172,172,Pinecone 2.jpg,5.562091503,2.504950495,Neu,War 1.jpg,2.012345679,6.333333333,Neg,3.549745824,-3.828382838,NeuNeg,3.828382838,3.549745824,5,IAPS/Pinecone 2.jpg,IAPS/War 1.jpg,2
53,53,53,2375.2.jpg,6.34,4.3,Pos,Nude couple 3.jpg,6.934640523,5.673267327,Pos,-0.594640523,-1.373267327,PosPos,1.373267327,0.594640523,2,IAPS/2375.2.jpg,IAPS/Nude couple 3.jpg,2
79,79,79,8118.jpg,6.14,4.9,Neu,Soldiers 1.jpg,5.209876543,5.025641026,Neu,0.930123457,-0.125641026,NeuNeu,0.125641026,0.930123457,2,IAPS/8118.jpg,IAPS/Soldiers 1.jpg,2
131,131,131,9120.jpg,3.2,5.77,Neg,Sidewalk 1.jpg,5.418300654,2.729372937,Neu,-2.218300654,3.040627063,NegNeu,3.040627063,2.218300654,4,IAPS/9120.jpg,IAPS/Sidewalk 1.jpg,2
139,139,139,1820.jpg,5.35,5.67,Neu,5020.jpg,6.32,2.63,Pos,-0.97,3.04,NeuPos,3.04,0.97,4,IAPS/1820.jpg,IAPS/5020.jpg,2
171,171,171,9050.jpg,2.43,6.36,Neg,Bark 2.jpg,5.345679012,2.487179487,Neu,-2.915679012,3.872820513,NegNeu,3.872820513,2.915679012,5,IAPS/9050.jpg,IAPS/Bark 2.jpg,2
43,43,43,Lion 1.jpg,6.359735974,5.453074434,Pos,Street 3.jpg,6.411764706,4.075907591,Pos,-0.052028732,1.377166843,PosPos,1.377166843,0.052028732,2,IAPS/Lion 1.jpg,IAPS/Street 3.jpg,2
71,71,71,Beach 3.jpg,7.01980198,4.741100324,Pos,Statue 1.jpg,6.777777778,3.41025641,Pos,0.242024202,1.330843914,PosPos,1.330843914,0.242024202,2,IAPS/Beach 3.jpg,IAPS/Statue 1.jpg,2
140,140,140,5410.jpg,6.11,3.29,Neu,6360.jpg,2.23,6.33,Neg,3.88,-3.04,NeuNeg,3.04,3.88,4,IAPS/5410.jpg,IAPS/6360.jpg,2
129,129,129,9260.jpg,4.63,3.45,Neu,Skydiving 5.jpg,6.189542484,6.491749175,Neu,-1.559542484,-3.041749175,NeuNeu,3.041749175,1.559542484,4,IAPS/9260.jpg,IAPS/Skydiving 5.jpg,2
225,225,225,Rocks 7.jpg,5.418300654,2.227722772,Neu,Volcano 2.jpg,3.183006536,6.650165017,Neg,2.235294118,-4.422442245,NeuNeg,4.422442245,2.235294118,6,IAPS/Rocks 7.jpg,IAPS/Volcano 2.jpg,2
83,83,83,2704.jpg,4.85,5.3,Neu,Snow 1.jpg,5.836601307,2.716171617,Neu,-0.986601307,2.583828383,NeuNeu,2.583828383,0.986601307,3,IAPS/2704.jpg,IAPS/Snow 1.jpg,2
112,112,112,2590.jpg,3.26,3.93,Neg,6244.jpg,3.09,5.68,Neg,0.17,-1.75,NegNeg,1.75,0.17,3,IAPS/2590.jpg,IAPS/6244.jpg,2
54,54,54,Doctor 1.jpg,5.888888889,3.864686469,Neu,Snake 1.jpg,3.666666667,5.237623762,Neg,2.222222222,-1.372937293,NeuNeg,1.372937293,2.222222222,2,IAPS/Doctor 1.jpg,IAPS/Snake 1.jpg,2
17,17,17,9322.jpg,2.24,5.73,Neg,Parachuting 1.jpg,6.503267974,5.726072607,Pos,-4.263267974,0.003927393,NegPos,0.003927393,4.263267974,1,IAPS/9322.jpg,IAPS/Parachuting 1.jpg,2
160,160,160,1052.jpg,3.5,6.52,Neg,Roofing 1.jpg,5.02640264,2.346278317,Neu,-1.52640264,4.173721683,NegNeu,4.173721683,1.52640264,5,IAPS/1052.jpg,IAPS/Roofing 1.jpg,2
82,82,82,Garbage dump 7.jpg,3.31372549,2.9669967,Neg,Thunderstorm 11.jpg,4.925925926,5.551282051,Neu,-1.612200436,-2.584285351,NegNeu,2.584285351,1.612200436,3,IAPS/Garbage dump 7.jpg,IAPS/Thunderstorm 11.jpg,2
165,165,165,9414.jpg,2.06,6.49,Neg,Pinecone 1.jpg,5.849673203,2.425742574,Neu,-3.789673203,4.064257426,NegNeu,4.064257426,3.789673203,5,IAPS/9414.jpg,IAPS/Pinecone 1.jpg,2
216,216,216,9413.jpg,1.76,6.81,Neg,Paper 1.jpg,5.211221122,2.15210356,Neu,-3.451221122,4.65789644,NegNeu,4.65789644,3.451221122,6,IAPS/9413.jpg,IAPS/Paper 1.jpg,2
21,21,21,Cups 3.jpg,5.967320261,2.676567657,Neu,Skyscraper 1.jpg,5.172839506,2.666666667,Neu,0.794480755,0.00990099,NeuNeu,0.00990099,0.794480755,1,IAPS/Cups 3.jpg,IAPS/Skyscraper 1.jpg,2
